Source,Target
Abra,Magikarp
Abra,Lickitung
Abra,Lickitung
Abra,Kadabra
Arbok,Mankey
Arbok,Mankey
Arbok,MeowsticFemale
Arbok,Raichu
Arbok,Mankey
Arbok,Mankey
Arbok,Mankey
Arbok,AlakazamMega Alakazam
Arbok,Mankey
Arbok,AlakazamMega Alakazam
Arbok,Mankey
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,Mankey
Arbok,AlakazamMega Alakazam
Arbok,Mankey
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arbok,AlakazamMega Alakazam
Arcanine,Kadabra
Beedrill,Pikachu
Beedrill,Raichu
Beedrill,Nidorina
Beedrill,Rattata
Beedrill,Rattata
Beedrill,Nidoking
Beedrill,Raticate
Beedrill,Raticate
Beedrill,Raticate
Beedrill,Nidoran♀
Beedrill,Raticate
Beedrill,Raticate
Beedrill,Raticate
BeedrillMega Beedrill,Alakazam
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorino
Blastoise,Nidorina
Blastoise,Nidorino
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorino
Blastoise,Nidorino
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorina
Blastoise,Nidorino
BlastoiseMega Blastoise,Pikachu
BlastoiseMega Blastoise,Raichu
BlastoiseMega Blastoise,Nidoran♀
